embedding_type,k,num_high_purity_clusters,percentage_high_purity_clusters,label_high_purity_clusters
description_suggested,66,17,25.757575757575758,"['Traditional Sports', 'Social News', 'Beauty', 'Video Games', 'Video Games', 'Cooking', 'Social Issues', 'Fitness', 'Hair', 'Random Shoot', 'Pets', 'Traditional Sports', 'Video Games', 'Video Games', 'Video Games', 'Traditional Sports', 'Hair']"
description_suggested,69,25,36.231884057971016,"['Random Shoot', 'Pets', 'Fitness', 'Social News', 'Video Games', 'Traditional Sports', 'Beauty', 'Traditional Sports', 'Hair', 'Social Issues', 'Video Games', 'Social News', 'Cooking', 'Video Games', 'Outfit', 'Video Games', 'Video Games', 'Social Issues', 'Beauty', 'Fitness', 'Video Games', 'Video Games', 'Traditional Sports', 'Celebrity Clips & Variety Show', 'Hair']"
description_suggested,72,23,31.944444444444443,"['Video Games', 'Beauty', 'Outfit', 'Social News', 'Traditional Sports', 'Random Shoot', 'Traditional Sports', 'Beauty', 'Hair', 'Fitness', 'Traditional Sports', 'Video Games', 'Pets', 'Video Games', 'Hair', 'Social Issues', 'Video Games', 'Traditional Sports', 'Celebrity Clips & Variety Show', 'Health & Wellness', 'Video Games', 'Traditional Sports', 'Cooking']"
description_suggested,75,28,37.333333333333336,"['Social News', 'Video Games', 'Hair', 'Random Shoot', 'Traditional Sports', 'Cooking', 'Video Games', 'Hair', 'Video Games', 'Dance', 'Outfit', 'Beauty', 'Social Issues', 'Beauty', 'Traditional Sports', 'Fitness', 'Video Games', 'Traditional Sports', 'Social News', 'Traditional Sports', 'Video Games', 'Pets', 'Hair', 'Outfit', 'Traditional Sports', 'Fitness', 'Video Games', 'Pranks']"
description_suggested,78,28,35.8974358974359,"['Video Games', 'Beauty', 'Traditional Sports', 'Video Games', 'Pets', 'Cooking', 'Hair', 'Random Shoot', 'Fitness', 'Social Issues', 'Traditional Sports', 'Social News', 'Cooking', 'Traditional Sports', 'Hair', 'Beauty', 'Video Games', 'Video Games', 'Video Games', 'Performance', 'Pets', 'Hair', 'Video Games', 'Outfit', 'Fitness', 'Dance', 'Celebrity Clips & Variety Show', 'Traditional Sports']"
description_suggested_author,3,0,0.0,[]
description_suggested_author,6,0,0.0,[]
description_suggested_author,9,1,11.11111111111111,['Random Shoot']
description_suggested_author,12,2,16.666666666666664,"['Video Games', 'Social Issues']"
description_suggested_author,15,3,20.0,"['Video Games', 'Random Shoot', 'Traditional Sports']"
description_suggested_author,18,5,27.77777777777778,"['Beauty', 'Video Games', 'Hair', 'Fitness', 'Traditional Sports']"
description_suggested_author,21,6,28.57142857142857,"['Traditional Sports', 'Beauty', 'Random Shoot', 'Fitness', 'Video Games', 'Hair']"
description_suggested_author,24,9,37.5,"['Cooking', 'Video Games', 'Traditional Sports', 'Fitness', 'Video Games', 'Social News', 'Hair', 'Traditional Sports', 'Beauty']"
description_suggested_author,27,9,33.33333333333333,"['Beauty', 'Hair', 'Video Games', 'Random Shoot', 'Video Games', 'Fitness', 'Video Games', 'Traditional Sports', 'Outfit']"
description_suggested_author,30,9,30.0,"['Beauty', 'Video Games', 'Video Games', 'Traditional Sports', 'Fitness', 'Video Games', 'Hair', 'Random Shoot', 'Traditional Sports']"
description_suggested_author,33,11,33.33333333333333,"['Random Shoot', 'Fitness', 'Traditional Sports', 'Beauty', 'Video Games', 'Hair', 'Video Games', 'Traditional Sports', 'Traditional Sports', 'Video Games', 'Outfit']"
description_suggested_author,36,10,27.77777777777778,"['Traditional Sports', 'Random Shoot', 'Video Games', 'Traditional Sports', 'Fitness', 'Dance', 'Video Games', 'Beauty', 'Hair', 'Social Issues']"
description_suggested_author,39,15,38.46153846153847,"['Social News', 'Cooking', 'Random Shoot', 'Traditional Sports', 'Video Games', 'Video Games', 'Hair', 'Outfit', 'Beauty', 'Video Games', 'Social Issues', 'Pets', 'Video Games', 'Fitness', 'Traditional Sports']"
description_suggested_author,42,13,30.952380952380953,"['Random Shoot', 'Beauty', 'Video Games', 'Outfit', 'Traditional Sports', 'Video Games', 'Traditional Sports', 'Hair', 'Beauty', 'Video Games', 'Hair', 'Fitness', 'Social Issues']"
description_suggested_author,45,13,28.888888888888886,"['Random Shoot', 'Cooking', 'Video Games', 'Video Games', 'Beauty', 'Outfit', 'Video Games', 'Traditional Sports', 'Video Games', 'Fitness', 'Hair', 'Video Games', 'Traditional Sports']"
description_suggested_author,48,13,27.083333333333332,"['Traditional Sports', 'Video Games', 'Video Games', 'Traditional Sports', 'Hair', 'Video Games', 'Fitness', 'Hair', 'Traditional Sports', 'Video Games', 'Random Shoot', 'Beauty', 'Social Issues']"
description_suggested_author,51,18,35.294117647058826,"['Random Shoot', 'Video Games', 'Hair', 'Video Games', 'Traditional Sports', 'Fitness', 'Video Games', 'Beauty', 'Outfit', 'Traditional Sports', 'Social Issues', 'Video Games', 'Social News', 'Beauty', 'Outfit', 'Cooking', 'Traditional Sports', 'Traditional Sports']"
description_suggested_author,54,18,33.33333333333333,"['Cooking', 'Video Games', 'Outfit', 'Video Games', 'Fitness', 'Hair', 'Beauty', 'Video Games', 'Traditional Sports', 'Traditional Sports', 'Social News', 'Video Games', 'Social Issues', 'Traditional Sports', 'Random Shoot', 'Celebrity Clips & Variety Show', 'Cooking', 'Fitness']"
description_suggested_author,57,20,35.08771929824561,"['Traditional Sports', 'Random Shoot', 'Outfit', 'Fitness', 'Video Games', 'Hair', 'Traditional Sports', 'Social Issues', 'Traditional Sports', 'Beauty', 'Video Games', 'Social News', 'Traditional Sports', 'Hair', 'Pets', 'Video Games', 'Beauty', 'Video Games', 'Video Games', 'Cooking']"
description_suggested_author,60,23,38.333333333333336,"['Video Games', 'Random Shoot', 'Outfit', 'Social News', 'Fitness', 'Traditional Sports', 'Traditional Sports', 'Video Games', 'Beauty', 'Celebrity Clips & Variety Show', 'Cooking', 'Traditional Sports', 'Dance', 'Traditional Sports', 'Hair', 'Video Games', 'Hair', 'Beauty', 'Social Issues', 'Pets', 'Video Games', 'Hair', 'Cooking']"
description_suggested_author,63,20,31.746031746031743,"['Beauty', 'Beauty', 'Dance', 'Social Issues', 'Random Shoot', 'Traditional Sports', 'Video Games', 'Outfit', 'Fitness', 'Traditional Sports', 'Cars', 'Video Games', 'Video Games', 'Cooking', 'Hair', 'Pets', 'Video Games', 'Traditional Sports', 'Video Games', 'Video Games']"
description_suggested_author,66,19,28.78787878787879,"['Video Games', 'Hair', 'Fitness', 'Pranks', 'Social News', 'Beauty', 'Video Games', 'Random Shoot', 'Social Issues', 'Video Games', 'Hair', 'Cooking', 'Traditional Sports', 'Outfit', 'Traditional Sports', 'Video Games', 'Video Games', 'Pets', 'Traditional Sports']"
description_suggested_author,69,23,33.33333333333333,"['Dance', 'Outfit', 'Random Shoot', 'Video Games', 'Traditional Sports', 'Beauty', 'Video Games', 'Fitness', 'Hair', 'Social Issues', 'Video Games', 'Cooking', 'Video Games', 'Beauty', 'Cooking', 'Traditional Sports', 'Traditional Sports', 'Hair', 'Video Games', 'Pets', 'Traditional Sports', 'Video Games', 'Fitness']"
description_suggested_author,72,26,36.11111111111111,"['Random Shoot', 'Cooking', 'Traditional Sports', 'Fitness', 'Hair', 'Beauty', 'Video Games', 'Traditional Sports', 'Beauty', 'Hair', 'Dance', 'Video Games', 'Cars', 'Cooking', 'Pets', 'Traditional Sports', 'Traditional Sports', 'Video Games', 'Beauty', 'Outfit', 'Social Issues', 'Fitness', 'Traditional Sports', 'Video Games', 'Video Games', 'Video Games']"
description_suggested_author,75,23,30.666666666666664,"['Celebrity Clips & Variety Show', 'Random Shoot', 'Video Games', 'Traditional Sports', 'Outfit', 'Pets', 'Traditional Sports', 'Video Games', 'Hair', 'Beauty', 'Video Games', 'Video Games', 'Hair', 'Cooking', 'Fitness', 'Video Games', 'Video Games', 'Traditional Sports', 'Hair', 'Beauty', 'Traditional Sports', 'Cooking', 'Cars']"
description_suggested_author,78,27,34.61538461538461,"['Video Games', 'Hair', 'Pets', 'Fitness', 'Traditional Sports', 'Random Shoot', 'Video Games', 'Hair', 'Social News', 'Cooking', 'Fitness', 'Cooking', 'Cars', 'Traditional Sports', 'Outfit', 'Beauty', 'Beauty', 'Traditional Sports', 'Traditional Sports', 'Traditional Sports', 'Hair', 'Social Issues', 'Video Games', 'Fitness', 'Video Games', 'Video Games', 'Video Games']"
